Country_Name,Country_Code,GDP_per_capita
Afghanistan,AFG,502.1154869
Albania,ALB,5352.857411
Algeria,DZA,3948.343279
American Samoa,ASM,11466.69071
Andorra,AND,40886.39116
Angola,AGO,2973.59116
Antigua and Barbuda,ATG,17790.30931
Argentina,ARG,10006.14897
Armenia,ARM,4622.733493
Aruba,ABW,29007.693
Australia,AUS,54907.10191
Austria,AUT,50277.27509
Azerbaijan,AZE,4793.58702
"Bahamas, The",BHS,32933.48601
Bahrain,BHR,23503.97713
Bangladesh,BGD,1855.739824
Barbados,BRB,18148.24493
Belarus,BLR,6663.295293
Belgium,BEL,46116.69923
Belize,BLZ,4815.163711
Benin,BEN,1219.432672
Bermuda,BMU,85748.06541
Bhutan,BTN,3243.231126
Bolivia,BOL,3552.068762
Bosnia and Herzegovina,BIH,6073.265203
Botswana,BWA,7961.33814
Brazil,BRA,8717.186278
Brunei Darussalam,BRN,31086.75108
Bulgaria,BGR,9737.601351
Burkina Faso,BFA,774.8396902
Burundi,BDI,261.2474725
Cabo Verde,CPV,3603.781794
Cambodia,KHM,1643.121389
Cameroon,CMR,1497.909176
Canada,CAN,46194.72523
Cayman Islands,CYM,85477.28701
Central African Republic,CAF,467.9074406
Chad,TCD,709.5403101
Channel Islands,CHI,43381.65784
Chile,CHL,14896.45387
China,CHN,10261.67913
Colombia,COL,6432.387583
Comoros,COM,1393.522372
"Congo, Dem. Rep.",COD,545.2162123
"Congo, Rep.",COG,2011.072399
Costa Rica,CRI,12238.37496
Cote d'Ivoire,CIV,2286.162777
Croatia,HRV,14853.23984
Cuba,CUB,8821.818891
Curacao,CUW,19573.89265
Cyprus,CYP,27858.371
Czech Republic,CZE,23101.7777
Denmark,DNK,59822.09296
Djibouti,DJI,3408.846254
Dominica,DMA,8300.375074
Dominican Republic,DOM,8282.116222
Ecuador,ECU,6183.823825
"Egypt, Arab Rep.",EGY,3020.03135
El Salvador,SLV,4187.250031
Equatorial Guinea,GNQ,8131.923888
Eritrea,ERI,642.5076591
Estonia,EST,23659.87229
Eswatini,SWZ,3837.026994
Ethiopia,ETH,857.501351
Faroe Islands,FRO,58622.84082
Fiji,FJI,6220.046421
Finland,FIN,48685.85399
France,FRA,40493.92857
French Polynesia,PYF,14323.82082
Gabon,GAB,7667.366861
"Gambia, The",GMB,751.2946884
Georgia,GEO,4769.186543
Germany,DEU,46258.87829
Ghana,GHA,2202.115567
Greece,GRC,19582.53601
Greenland,GRL,54470.95639
Grenada,GRD,10965.51316
Guam,GUM,35712.56214
Guatemala,GTM,4619.987097
Guinea,GIN,1064.131237
Guinea-Bissau,GNB,697.7844029
Guyana,GUY,5468.356629
Haiti,HTI,754.5879177
Honduras,HND,2574.912191
"Hong Kong SAR, China",HKG,48755.83508
Hungary,HUN,16475.74184
Iceland,ISL,66944.82551
India,IND,2104.1459
Indonesia,IDN,4135.569263
"Iran, Islamic Rep.",IRN,5520.310789
Iraq,IRQ,5955.10901
Ireland,IRL,78660.95646
Isle of Man,IMN,80989.17221
Israel,ISR,43641.39774
Italy,ITA,33189.5658
Jamaica,JAM,5582.263778
Japan,JPN,40246.88013
Jordan,JOR,4330.329346
Kazakhstan,KAZ,9731.145207
Kenya,KEN,1816.546916
Kiribati,KIR,1655.078839
"Korea, Rep.",KOR,31761.97769
Kosovo,XKX,4417.50994
Kuwait,KWT,32031.9801
Kyrgyz Republic,KGZ,1309.392992
Lao PDR,LAO,2534.898277
Latvia,LVA,17836.36489
Lebanon,LBN,7784.316857
Lesotho,LSO,1157.535164
Liberia,LBR,621.8929536
Libya,LBY,7683.750611
Liechtenstein,LIE,173356.0513
Lithuania,LTU,19455.45413
Luxembourg,LUX,114704.5942
"Macao SAR, China",MAC,84096.39631
Madagascar,MDG,522.2198092
Malawi,MWI,411.5523404
Malaysia,MYS,11414.83766
Maldives,MDV,10790.50024
Mali,MLI,890.7372855
Malta,MLT,29416.23061
Marshall Islands,MHL,3788.163594
Mauritania,MRT,1677.919253
Mauritius,MUS,11203.54058
Mexico,MEX,9863.072699
"Micronesia, Fed. Sts.",FSM,3568.291016
Moldova,MDA,4498.52085
Monaco,MCO,185829.018
Mongolia,MNG,4295.235025
Montenegro,MNE,8832.036836
Morocco,MAR,3204.095003
Mozambique,MOZ,491.8047231
Myanmar,MMR,1407.813143
Namibia,NAM,4957.458006
Nauru,NRU,9396.981967
Nepal,NPL,1071.050761
Netherlands,NLD,52447.83144
